timestamp,src_ip,dst_ip,protocol,pkt_size,pkts_in_sec,label
2025-11-25T08:28:32.697519Z,10.26.61.32,10.0.0.1,TCP,1229,1,0
2025-11-25T08:28:32.511519Z,10.6.203.16,192.168.0.11,TCP,500,3,0
2025-11-25T08:28:33.244519Z,192.168.40.224,192.168.0.10,UDP,296,3,0
2025-11-25T08:28:32.520519Z,10.216.245.101,192.168.0.10,TCP,161,5,0
2025-11-25T08:28:32.543519Z,10.141.82.137,192.168.0.10,ICMP,84,1,0
2025-11-25T08:28:32.462519Z,192.168.252.56,10.0.0.2,UDP,155,4,0
2025-11-25T08:28:33.066519Z,10.90.243.6,192.168.0.10,UDP,138,2,0
2025-11-25T08:28:32.962519Z,10.97.35.254,10.0.0.2,UDP,445,1,0
2025-11-25T08:28:32.650519Z,192.168.102.179,10.0.0.2,UDP,338,4,0
2025-11-25T08:28:32.821519Z,192.168.36.148,10.0.0.2,UDP,361,4,0
2025-11-25T08:28:33.335519Z,10.255.80.190,10.23.69.215,TCP,178,2,0
2025-11-25T08:28:33.058519Z,192.168.152.175,192.168.0.11,TCP,1534,5,0
2025-11-25T08:28:32.673519Z,192.168.2.241,10.0.0.1,ICMP,118,3,0
2025-11-25T08:28:33.203519Z,10.111.76.199,10.0.0.1,UDP,391,2,0
2025-11-25T08:28:32.935519Z,192.168.76.103,10.50.235.215,ICMP,65,2,0
2025-11-25T08:28:32.968519Z,192.168.235.35,192.168.0.10,ICMP,73,3,0
2025-11-25T08:28:33.315519Z,192.168.61.77,10.0.0.1,ICMP,71,1,0
2025-11-25T08:28:33.194519Z,10.168.229.111,10.0.0.2,TCP,608,5,0
2025-11-25T08:28:32.849519Z,192.168.193.90,10.79.204.164,ICMP,101,3,0
2025-11-25T08:28:32.864519Z,10.63.118.191,192.168.0.10,UDP,83,2,0
2025-11-25T08:28:33.018519Z,10.161.143.247,10.0.0.1,TCP,141,1,0
2025-11-25T08:28:32.942519Z,192.168.54.217,192.168.0.11,TCP,620,4,0
2025-11-25T08:28:32.610519Z,192.168.90.180,192.168.0.11,TCP,181,1,0
2025-11-25T08:28:32.478519Z,10.220.150.147,10.0.0.2,TCP,455,2,0
2025-11-25T08:28:32.848519Z,10.223.222.80,10.220.129.96,TCP,996,5,0
2025-11-25T08:28:33.272519Z,10.192.233.172,10.124.82.251,TCP,925,4,0
2025-11-25T08:28:33.340519Z,10.252.61.52,192.168.0.11,TCP,624,5,0
2025-11-25T08:28:33.093519Z,10.75.245.12,10.0.0.1,UDP,134,1,0
2025-11-25T08:28:32.467519Z,10.218.75.218,10.0.0.1,TCP,915,2,0
2025-11-25T08:28:32.486519Z,192.168.60.55,10.0.0.2,TCP,1292,5,0
2025-11-25T08:28:32.499519Z,10.133.213.23,192.168.0.10,TCP,510,3,0
2025-11-25T08:28:32.660519Z,10.165.63.139,192.168.0.10,TCP,167,5,0
2025-11-25T08:28:32.992519Z,10.54.145.72,10.0.0.2,ICMP,111,1,0
2025-11-25T08:28:33.316519Z,10.112.44.222,192.168.156.151,TCP,1415,5,0
2025-11-25T08:28:32.722519Z,10.224.204.238,10.0.0.1,ICMP,97,5,0
2025-11-25T08:28:32.575519Z,192.168.183.182,192.168.0.10,TCP,1089,1,0
2025-11-25T08:28:32.510519Z,192.168.11.74,10.0.0.2,UDP,283,4,0
2025-11-25T08:28:32.980519Z,10.28.163.197,10.0.0.2,UDP,108,5,0
2025-11-25T08:28:32.981519Z,10.78.234.5,10.0.0.1,TCP,700,2,0
2025-11-25T08:28:33.098519Z,192.168.226.87,192.168.191.222,TCP,440,2,0
2025-11-25T08:28:33.301519Z,192.168.45.84,10.188.143.126,TCP,823,4,0
2025-11-25T08:28:33.237519Z,192.168.63.136,10.0.0.1,UDP,518,4,0
2025-11-25T08:28:32.643519Z,192.168.89.132,10.0.0.2,TCP,417,2,0
2025-11-25T08:28:32.824519Z,192.168.247.135,10.130.104.106,TCP,941,5,0
2025-11-25T08:28:32.755519Z,10.248.108.45,192.168.0.10,ICMP,52,4,0
2025-11-25T08:28:32.769519Z,10.155.48.129,10.230.69.242,UDP,229,4,0
2025-11-25T08:28:32.417519Z,192.168.175.214,192.168.171.175,TCP,437,1,0
2025-11-25T08:28:33.387519Z,10.80.92.199,10.0.0.1,UDP,368,4,0
2025-11-25T08:28:33.750519Z,10.32.149.239,192.168.0.11,TCP,1590,2,0
2025-11-25T08:28:34.046519Z,10.213.111.4,192.168.0.10,TCP,476,5,0
2025-11-25T08:28:34.037519Z,10.113.49.99,192.168.0.11,UDP,247,3,0
2025-11-25T08:28:33.943519Z,192.168.23.233,192.168.172.61,UDP,335,2,0
2025-11-25T08:28:33.566519Z,10.121.162.138,10.0.0.1,TCP,958,5,0
2025-11-25T08:28:33.615519Z,10.102.79.167,10.0.0.1,UDP,187,2,0
2025-11-25T08:28:33.596519Z,192.168.118.237,10.0.0.2,UDP,180,4,0
2025-11-25T08:28:34.099519Z,10.81.58.113,192.168.156.215,TCP,1060,5,0
2025-11-25T08:28:33.872519Z,192.168.121.133,10.0.0.2,UDP,379,5,0
2025-11-25T08:28:33.912519Z,10.19.213.243,10.85.250.27,UDP,447,1,0
2025-11-25T08:28:33.557519Z,10.39.30.63,10.104.88.111,TCP,749,4,0
2025-11-25T08:28:33.479519Z,10.231.163.127,192.168.5.1,TCP,1179,1,0
2025-11-25T08:28:34.381519Z,192.168.218.124,192.168.137.201,TCP,1319,2,0
2025-11-25T08:28:33.915519Z,10.7.110.44,192.168.0.11,TCP,452,2,0
2025-11-25T08:28:34.053519Z,192.168.151.135,10.0.0.1,TCP,244,2,0
2025-11-25T08:28:34.303519Z,10.97.12.244,192.168.0.11,TCP,681,4,0
2025-11-25T08:28:33.700519Z,192.168.64.149,10.191.192.14,UDP,135,3,0
2025-11-25T08:28:33.645519Z,192.168.166.218,10.0.0.1,UDP,275,1,0
2025-11-25T08:28:34.052519Z,10.171.97.168,10.0.0.2,TCP,1092,3,0
2025-11-25T08:28:33.587519Z,192.168.183.231,10.0.0.2,UDP,318,1,0
2025-11-25T08:28:34.367519Z,192.168.245.75,10.0.0.2,TCP,222,2,0
2025-11-25T08:28:33.520519Z,10.175.43.154,10.0.0.1,UDP,95,4,0
2025-11-25T08:28:34.093519Z,10.87.90.238,192.168.0.11,TCP,895,3,0
2025-11-25T08:28:34.066519Z,10.39.42.110,192.168.0.10,UDP,547,5,0
2025-11-25T08:28:33.690519Z,10.239.67.98,192.168.0.11,TCP,615,5,0
2025-11-25T08:28:34.040519Z,10.126.138.223,10.54.77.125,UDP,473,3,0
2025-11-25T08:28:33.702519Z,192.168.70.186,10.0.0.2,UDP,131,4,0
2025-11-25T08:28:33.916519Z,10.121.225.61,192.168.0.11,TCP,1091,1,0
2025-11-25T08:28:33.717519Z,192.168.78.100,192.168.0.10,TCP,1051,3,0
2025-11-25T08:28:33.851519Z,10.90.16.66,10.64.91.254,ICMP,62,2,0
2025-11-25T08:28:33.739519Z,10.195.30.220,10.0.0.2,TCP,551,3,0
2025-11-25T08:28:34.157519Z,192.168.152.200,10.0.0.1,TCP,419,3,0
2025-11-25T08:28:33.599519Z,192.168.32.104,10.0.0.1,TCP,1093,2,0
2025-11-25T08:28:34.069519Z,10.223.106.144,192.168.0.10,UDP,535,3,0
2025-11-25T08:28:33.604519Z,10.220.153.225,10.0.0.1,ICMP,84,5,0
2025-11-25T08:28:34.060519Z,10.207.167.2,192.168.0.10,UDP,176,1,0
2025-11-25T08:28:33.987519Z,192.168.202.110,192.168.0.11,UDP,606,3,0
2025-11-25T08:28:34.296519Z,10.145.145.180,10.0.0.1,TCP,509,3,0
2025-11-25T08:28:34.092519Z,10.141.79.94,10.0.0.1,TCP,878,5,0
2025-11-25T08:28:33.897519Z,10.180.251.15,192.168.0.11,TCP,220,3,0
2025-11-25T08:28:34.222519Z,10.205.204.196,10.139.104.113,UDP,307,3,0
2025-11-25T08:28:34.262519Z,10.202.233.181,192.168.0.10,TCP,814,3,0
2025-11-25T08:28:34.132519Z,10.138.60.60,10.0.0.1,TCP,1047,4,0
2025-11-25T08:28:34.168519Z,10.23.97.51,10.0.0.1,TCP,1620,5,0
2025-11-25T08:28:33.457519Z,10.132.218.209,192.168.0.10,UDP,293,4,0
