timestamp,sec,src_ip,dst_ip,protocol,pkt_size,pkts_in_sec,label
2025-11-25T10:44:01.664382Z,0,10.15.78.229,192.168.0.10,TCP,485,3,0
2025-11-25T10:44:01.691382Z,0,10.98.105.108,10.0.0.2,TCP,470,3,0
2025-11-25T10:44:02.620382Z,0,192.168.14.151,192.168.243.44,UDP,191,1,0
2025-11-25T10:44:02.517382Z,0,10.126.209.171,192.168.57.29,TCP,931,4,0
2025-11-25T10:44:02.356382Z,0,10.139.237.190,192.168.0.11,TCP,720,1,0
2025-11-25T10:44:01.944382Z,0,192.168.220.63,10.165.217.179,TCP,338,5,0
2025-11-25T10:44:01.960382Z,0,192.168.93.50,10.164.179.19,TCP,479,1,0
2025-11-25T10:44:02.156382Z,0,10.189.116.72,192.168.0.11,UDP,370,4,0
2025-11-25T10:44:01.939382Z,0,10.14.162.5,192.168.0.11,UDP,369,5,0
2025-11-25T10:44:01.910382Z,0,10.198.28.47,10.0.0.1,ICMP,77,2,0
2025-11-25T10:44:01.711382Z,0,192.168.132.9,192.168.0.11,TCP,510,5,0
2025-11-25T10:44:01.818382Z,0,10.76.132.47,10.0.0.1,TCP,1254,4,0
2025-11-25T10:44:01.790382Z,0,192.168.72.57,10.0.0.1,UDP,246,4,0
2025-11-25T10:44:01.713382Z,0,10.92.160.203,10.0.0.2,UDP,110,3,0
2025-11-25T10:44:01.822382Z,0,10.26.43.244,192.168.0.10,UDP,116,2,0
2025-11-25T10:44:01.811382Z,0,192.168.109.122,10.0.0.1,UDP,282,2,0
2025-11-25T10:44:02.507382Z,0,192.168.78.170,10.85.183.130,UDP,346,2,0
2025-11-25T10:44:02.133382Z,0,192.168.32.79,10.5.50.74,TCP,1178,5,0
2025-11-25T10:44:02.122382Z,0,10.36.164.104,192.168.0.11,TCP,687,2,0
2025-11-25T10:44:01.822382Z,0,10.15.85.220,10.0.0.2,TCP,374,5,0
2025-11-25T10:44:02.381382Z,0,192.168.47.142,192.168.0.10,TCP,1410,5,0
2025-11-25T10:44:01.930382Z,0,10.98.63.97,192.168.0.11,TCP,1467,2,0
2025-11-25T10:44:01.726382Z,0,192.168.215.57,10.101.78.183,TCP,1609,4,0
2025-11-25T10:44:02.199382Z,0,192.168.42.180,10.38.53.63,ICMP,64,3,0
2025-11-25T10:44:02.618382Z,0,10.108.11.131,192.168.65.201,ICMP,90,1,0
2025-11-25T10:44:02.328382Z,0,10.89.55.215,192.168.0.10,TCP,288,3,0
2025-11-25T10:44:02.121382Z,0,10.153.193.68,10.0.0.2,TCP,695,4,0
2025-11-25T10:44:02.170382Z,0,192.168.141.147,10.0.0.1,TCP,135,4,0
