timestamp,src_ip,dst_ip,protocol,pkt_size,pkts_in_sec,label
2025-11-25T10:31:50.879026Z,10.26.61.32,10.0.0.1,TCP,1229,1,0
2025-11-25T10:31:50.693026Z,10.6.203.16,192.168.0.11,TCP,500,3,0
2025-11-25T10:31:51.426026Z,192.168.40.224,192.168.0.10,UDP,296,3,0
2025-11-25T10:31:50.702026Z,10.216.245.101,192.168.0.10,TCP,161,5,0
2025-11-25T10:31:50.725026Z,10.141.82.137,192.168.0.10,ICMP,84,1,0
2025-11-25T10:31:50.644026Z,192.168.252.56,10.0.0.2,UDP,155,4,0
2025-11-25T10:31:51.248026Z,10.90.243.6,192.168.0.10,UDP,138,2,0
2025-11-25T10:31:51.144026Z,10.97.35.254,10.0.0.2,UDP,445,1,0
2025-11-25T10:31:50.832026Z,192.168.102.179,10.0.0.2,UDP,338,4,0
2025-11-25T10:31:51.003026Z,192.168.36.148,10.0.0.2,UDP,361,4,0
2025-11-25T10:31:51.517026Z,10.255.80.190,10.23.69.215,TCP,178,2,0
2025-11-25T10:31:51.240026Z,192.168.152.175,192.168.0.11,TCP,1534,5,0
2025-11-25T10:31:50.855026Z,192.168.2.241,10.0.0.1,ICMP,118,3,0
2025-11-25T10:31:51.385026Z,10.111.76.199,10.0.0.1,UDP,391,2,0
2025-11-25T10:31:51.117026Z,192.168.76.103,10.50.235.215,ICMP,65,2,0
2025-11-25T10:31:51.150026Z,192.168.235.35,192.168.0.10,ICMP,73,3,0
2025-11-25T10:31:51.497026Z,192.168.61.77,10.0.0.1,ICMP,71,1,0
2025-11-25T10:31:51.376026Z,10.168.229.111,10.0.0.2,TCP,608,5,0
2025-11-25T10:31:51.031026Z,192.168.193.90,10.79.204.164,ICMP,101,3,0
2025-11-25T10:31:51.046026Z,10.63.118.191,192.168.0.10,UDP,83,2,0
2025-11-25T10:31:51.200026Z,10.161.143.247,10.0.0.1,TCP,141,1,0
2025-11-25T10:31:51.124026Z,192.168.54.217,192.168.0.11,TCP,620,4,0
2025-11-25T10:31:50.792026Z,192.168.90.180,192.168.0.11,TCP,181,1,0
2025-11-25T10:31:50.660026Z,10.220.150.147,10.0.0.2,TCP,455,2,0
2025-11-25T10:31:51.030026Z,10.223.222.80,10.220.129.96,TCP,996,5,0
2025-11-25T10:31:51.454026Z,10.192.233.172,10.124.82.251,TCP,925,4,0
2025-11-25T10:31:51.522026Z,10.252.61.52,192.168.0.11,TCP,624,5,0
2025-11-25T10:31:51.275026Z,10.75.245.12,10.0.0.1,UDP,134,1,0
2025-11-25T10:31:50.649026Z,10.218.75.218,10.0.0.1,TCP,915,2,0
2025-11-25T10:31:50.668026Z,192.168.60.55,10.0.0.2,TCP,1292,5,0
2025-11-25T10:31:50.681026Z,10.133.213.23,192.168.0.10,TCP,510,3,0
2025-11-25T10:31:50.842026Z,10.165.63.139,192.168.0.10,TCP,167,5,0
2025-11-25T10:31:51.174026Z,10.54.145.72,10.0.0.2,ICMP,111,1,0
2025-11-25T10:31:51.498026Z,10.112.44.222,192.168.156.151,TCP,1415,5,0
2025-11-25T10:31:50.904026Z,10.224.204.238,10.0.0.1,ICMP,97,5,0
2025-11-25T10:31:50.757026Z,192.168.183.182,192.168.0.10,TCP,1089,1,0
2025-11-25T10:31:50.692026Z,192.168.11.74,10.0.0.2,UDP,283,4,0
2025-11-25T10:31:51.162026Z,10.28.163.197,10.0.0.2,UDP,108,5,0
2025-11-25T10:31:51.163026Z,10.78.234.5,10.0.0.1,TCP,700,2,0
2025-11-25T10:31:51.280026Z,192.168.226.87,192.168.191.222,TCP,440,2,0
2025-11-25T10:31:51.483026Z,192.168.45.84,10.188.143.126,TCP,823,4,0
2025-11-25T10:31:51.419026Z,192.168.63.136,10.0.0.1,UDP,518,4,0
2025-11-25T10:31:50.825026Z,192.168.89.132,10.0.0.2,TCP,417,2,0
2025-11-25T10:31:51.006026Z,192.168.247.135,10.130.104.106,TCP,941,5,0
2025-11-25T10:31:50.937026Z,10.248.108.45,192.168.0.10,ICMP,52,4,0
2025-11-25T10:31:50.951026Z,10.155.48.129,10.230.69.242,UDP,229,4,0
2025-11-25T10:31:50.599026Z,192.168.175.214,192.168.171.175,TCP,437,1,0
2025-11-25T10:31:51.569026Z,10.80.92.199,10.0.0.1,UDP,368,4,0
2025-11-25T10:31:51.932026Z,10.32.149.239,192.168.0.11,TCP,1590,2,0
2025-11-25T10:31:52.228026Z,10.213.111.4,192.168.0.10,TCP,476,5,0
2025-11-25T10:31:52.219026Z,10.113.49.99,192.168.0.11,UDP,247,3,0
2025-11-25T10:31:52.125026Z,192.168.23.233,192.168.172.61,UDP,335,2,0
2025-11-25T10:31:51.748026Z,10.121.162.138,10.0.0.1,TCP,958,5,0
